nbagameid,off_team,O_rank_1,O_rank_2,O_rank_3,O_rank_4,O_rank_5,O_rank_6,O_rank_7,O_rank_8,O_rank_9,O_rank_10,O_rank_11,off_home,Oefg,OTORatio,O_reb_perc,OFTRate,O_west_conference,O_win,O_rank,Defg,DTORatio,D_reb_perc,DFTRate,D_west_conference,D_rank,def_team,D_rank_1,D_rank_2,D_rank_3,D_rank_4,D_rank_5,D_rank_6,D_rank_7,D_rank_8,D_rank_9,D_rank_10,D_rank_11
22300246,BOS,0.78786031,0.749,0.69566878,0,0.40124328,0.7276165,0.69506084,0,0.20966715,0,0,1,0.51052632,0.13265306,0.37735849,0.16842105,0,1,0,0.5755814,0.15625,0.24444444,0.1744186,1,0.28571429,DAL,0.70810142,0,0.5506653,0.69301355,0.7299486,0.37895327,0,0.5710282,0.54135009,0.02750142,0.29837628
22300275,BOS,0.55698947,0.6402,0.66989148,0.73576294,0.47174059,0.59281895,0.71438797,0,0.16941855,0,0,1,0.61038961,0.19607843,0.275,0.4025974,0,1,0,0.5,0.19230769,0.35185185,0.22222222,1,0.28571429,DAL,0.4851577,0,0.43773456,0.51015338,0.52845468,0.41196262,0,0.58188825,0.45989188,0.2963682,0.3815743
22300277,DAL,0,0,0,0.75696931,0.62567204,0.7131398,0,0.76192417,0.50619641,0,0.43482795,1,0.43478261,0.12765957,0.3015873,0.15217391,1,0,0.28571429,0.54347826,0.11340206,0.2,0.08695652,0,0,BOS,0.69294991,0.71264847,0.73046742,0.68804452,0.38716119,0.50915888,0.50334313,0.73214223,0,0,0
22300287,DAL,0.93317075,0,0,0,0.53393817,0.75171887,0,0,0.88172526,0,0.30274592,1,0.55747126,0.15533981,0.32727273,0.26436782,1,0,0.28571429,0.45394737,0.15,0.16666667,0.35526316,0,0,BOS,0.72105751,0.77793985,0.79355169,0,0.29101801,0.5686729,0.72527553,0.46582589,0.54310345,0,0.11263678
22300305,BOS,0.82308708,0.7371,0.65938962,0.71543431,0.23810484,0.45034377,0.47888332,0.77472483,0.18832603,0,0,1,0.55952381,0.15463918,0.34782609,0.30952381,0,1,0,0.55050505,0.11320755,0.28301887,0.17171717,1,0.28571429,DAL,0.63528139,0,0.57079495,0.71968066,0.77949932,0.25719626,0,0.6277807,0.67223115,0.18381461,0
22300306,DAL,0.88087254,0,0.70604334,0,0.80698925,0,0,0,0.67378037,0.89762203,0.39673271,1,0.61235955,0.10526316,0.30434783,0.20224719,1,1,0.28571429,0.59313725,0.17475728,0.38461538,0.04901961,0,0,BOS,0.51175015,0.49107453,0.64483112,0.53102329,0.55578153,0.5611215,0.34202792,0.50201436,0.23451198,0,0.21743735
22300319,BOS,0.73874606,0.70166667,0.68612163,0.78224844,0.28864247,0.41291062,0.50612026,0.74965349,0,0,0,1,0.58235294,0.13684211,0.29545455,0.2,0,1,0,0.63690476,0.14851485,0.19565217,0.21428571,1,0.28571429,DAL,0.74087817,0,0.59911293,0,0.69075177,0.59663551,0,0.7181643,0.29726768,0.15166222,0.20578892
