nbagameid,off_team,O_rank_1,O_rank_2,O_rank_3,O_rank_4,O_rank_5,O_rank_6,O_rank_7,O_rank_8,O_rank_9,O_rank_10,O_rank_11,off_home,Oefg,OTORatio,O_reb_perc,OFTRate,O_west_conference,O_win,O_rank,Defg,DTORatio,D_reb_perc,DFTRate,D_west_conference,D_rank,def_team,D_rank_1,D_rank_2,D_rank_3,D_rank_4,D_rank_5,D_rank_6,D_rank_7,D_rank_8,D_rank_9,D_rank_10,D_rank_11
22300005,OKC,0,0.6378,0.57569296,0.74292536,0.61525538,0.83231474,0.56224052,0.4100693,0,0,0.31762252,1,0.69277108,0.18269231,0.28571429,0.28915663,1,0,0,0.47849462,0.13,0.26315789,0.11827957,1,0.42857143,NOP,0.48113791,0,0,0.7344221,0.58795252,0,0.7421014,0.43482221,0.26117767,0.96893958,0.48400988
22300021,OKC,0.56904786,0.59166667,0.45027528,0.48743066,0.49630376,0.48460657,0.2924481,0.12719119,0,0.37292449,0.3826903,1,0.6011236,0.1509434,0.20454545,0.17977528,1,1,0,0.53977273,0.08510638,0.26530612,0.19318182,1,0.42857143,NOP,0.5906308,0.71653817,0,0.69785007,0.66312909,0,0.52534901,0.58689788,0.20054062,0.60644666,0.29579951
22300022,NOP,0.6202283,0.53976667,0,0.75700442,0.44455645,0,0.61342162,0.50379128,0,0.82019191,0,1,0.59574468,0.125,0.28571429,0.20212766,1,1,0.42857143,0.47222222,0.1010101,0.21818182,0.2,1,0,OKC,0.62987013,0.70427867,0.51340839,0.6767814,0.62389528,0.37383178,0.52479794,0.34643545,0,0.37130955,0.2345923
22300034,NOP,0.74853504,0.6507,0,0.80401657,0.69539651,0,0.70858984,0.44920506,0,0.6485607,0,1,0.59090909,0.1122449,0.17647059,0.125,1,1,0.42857143,0.66463415,0.16,0.21052632,0.18292683,1,0,OKC,0.66697588,0.52198375,0.66591607,0.63073508,0.70369412,0.42691589,0.47619398,0.22700998,0,0,0
22300095,OKC,0.57480608,0.51066667,0.39493365,0.58422864,0.44119624,0.5026738,0.35862563,0.24785976,0,0,0,1,0.44444444,0.10638298,0.26415094,0.16666667,1,0,0,0.55294118,0.20588235,0.2826087,0.2,1,0.42857143,NOP,0.70593692,0.65985969,0.76322074,0.71328718,0.64674777,0,0.41623806,0,0.32711134,0.22385343,0
22300108,NOP,0.45320598,0.5974,0.63934061,0,0.45866935,0,0.51861131,0,0.38032124,0.87400918,0,1,0.46236559,0.11,0.25,0.17204301,1,0,0.42857143,0.53448276,0.17142857,0.18367347,0.17241379,1,0,OKC,0.66481138,0.63863999,0.79232344,0.69569682,0.6279259,0.42201869,0.49059515,0.2415134,0,0,0
22300109,OKC,0.66693764,0.48026667,0.49527416,0.6614704,0.57157258,0.50152788,0.42090193,0,0,0,0,1,0.60843373,0.14705882,0.225,0.27710843,1,1,0,0.45588235,0.10679612,0.34782609,0.16666667,1,0.42857143,NOP,0.57563389,0.68295478,0.75673831,0,0.46444551,0,0.55881705,0,0.51362507,0.90750627,0
22300099,LAC,0,0.555,0.52986666,0.40235938,0,0.51413293,0.57190408,0.13452915,0.59380733,0,0.30656934,1,0.6043956,0.15533981,0.30434783,0.14285714,1,1,0.21428571,0.61413043,0.09803922,0.21568627,0.18478261,1,0.28571429,DAL,0.60049474,0,0.54759468,0,0.78911363,0.58280374,0,0.77071291,0.51578025,0.45175119,0.09248147
22300114,LAC,0,0.654,0.62883875,0.60950776,0,0.51871658,0.70536865,0.25112108,0,0,0,1,0.57303371,0.15384615,0.27659574,0.17977528,1,1,0.21428571,0.57281553,0.10679612,0.25925926,0.06796117,1,0.28571429,DAL,0.65398887,0,0.53735926,0.66982476,0.83829457,0.42990654,0,0.41338238,0.5226841,0.27380086,0
22300124,DAL,0.81302713,0,0.52452026,0,0.60685484,0.7158518,0,0.64166327,0.74806245,0.25156446,0.29662843,1,0.58024691,0.15957447,0.33333333,0.24691358,1,1,0.28571429,0.53684211,0.07070707,0.29411765,0.23157895,1,0.21428571,LAC,0.52006803,0.66333264,0.57383146,0.59164541,0.54472507,0.49869159,0.56135195,0.08933263,0,0.5213136,0
22300143,DAL,0.73908478,0,0.6151545,0.71381925,0.62768817,0.38246753,0,0.57806767,0.72806919,0.08218607,0.30726451,1,0.54945055,0.10679612,0.26415094,0.26373626,1,1,0.28571429,0.51176471,0.15686275,0.29166667,0.25882353,1,0.21428571,LAC,0.66233766,0.7491144,0.7308086,0.27130884,0.49846541,0.57906542,0.595518,0.21369767,0,0.49385262,0
22300257,LAC,0.73959286,0.73213333,0.74308627,0.44659785,0.59391801,0.73529412,0.57444524,0,0,0.30646642,0,1,0.44705882,0.13541667,0.32075472,0.32941176,1,0,0.21428571,0.47916667,0.04210526,0.21666667,0.125,1,0.28571429,DAL,0.71675943,0,0.61316957,0.68870706,0.7099804,0.4171215,0,0.45472062,0.41678843,0.22235703,0.15001765
22300277,DAL,0,0,0,0.75696931,0.62567204,0.7131398,0,0.76192417,0.50619641,0,0.43482795,1,0.43478261,0.12765957,0.3015873,0.15217391,1,0,0.28571429,0.50526316,0.06382979,0.31034483,0.18947368,1,0.21428571,LAC,0.68973408,0.77682851,0.72180143,0.35180707,0.75250527,0.59738318,0.57332843,0.01170082,0,0.35759929,0
22300280,LAC,0.71046303,0.76033333,0.73863094,0.62249842,0.48383737,0.51795264,0.40533286,0,0,0.54864414,0,1,0.56111111,0.11,0.17021277,0.13333333,1,1,0.21428571,0.59883721,0.17171717,0.31818182,0.19767442,1,0.28571429,DAL,0.81292517,0,0,0,0,0.14280374,0,0,0.77396259,0.84773113,0.71937875
22300058,MIN,0.56853978,0.7233,0.71030774,0,0.64096102,0.5829259,0.55762348,0.55686914,0,0.2886942,0.4379562,1,0.51282051,0.20408163,0.33333333,0.33333333,1,1,0.14285714,0.54651163,0.18367347,0.40909091,0.30232558,1,0.35714286,PHX,0.64038343,0.6147114,0,0.54907742,0,0.69570093,0,0.37291995,0.63340152,0.48147699,0.44440522
22300093,MIN,0.67811537,0.616,0.55118862,0,0.625,0.65164248,0.48926271,0.56135344,0,0.43679599,0.30239833,1,0.58139535,0.16326531,0.20454545,0.06976744,1,1,0.14285714,0.52777778,0.20560748,0.33962264,0.23333333,1,0.35714286,PHX,0.78447743,0.76891019,0,0.7555239,0,0.5671028,0.51752388,0.30127868,0.40301724,0.75762355,0.35894811
